Epoch,Total_Loss,Reg_Loss,Cls_Loss,RMSE_SM0,MAE_SM0,ME_SM0,RMSE_SM20,MAE_SM20,ME_SM20,Accuracy,F1_Score,Precision,Recall
74,0.365748,0.006374,0.359374,6.192851,4.677314,-0.413546,6.286644,4.812807,-0.549585,0.922217,0.922259,0.926456,0.922217
75,0.295033,0.005103,0.289930,6.865434,5.181406,-0.224846,7.050963,5.474745,-0.684877,0.935829,0.936739,0.941287,0.935829
76,0.312762,0.005857,0.306905,5.794979,4.353710,-0.053612,6.030898,4.533823,-0.615791,0.935343,0.936006,0.940115,0.935343
77,0.299879,0.005284,0.294595,6.100908,4.617689,-0.446004,6.368470,4.862038,-0.382590,0.914925,0.914829,0.926325,0.914925
78,0.318617,0.005731,0.312886,5.895426,4.413910,-1.929201,5.838569,4.442839,-1.819826,0.930967,0.931274,0.935721,0.930967
79,0.300023,0.005109,0.294914,5.753005,4.292280,-0.409247,6.075688,4.543296,-0.767835,0.934370,0.934768,0.936470,0.934370
80,0.280228,0.005012,0.275215,6.252957,4.708954,-1.765651,6.324815,4.828365,-2.109522,0.929509,0.930012,0.933896,0.929509
81,0.316071,0.005589,0.310482,5.605467,4.216959,0.694563,5.624756,4.226758,0.685100,0.945552,0.946229,0.947554,0.945552
82,0.306115,0.005295,0.300820,5.950305,4.559446,-1.306213,6.013561,4.640555,-1.022165,0.938260,0.938800,0.941499,0.938260
83,0.300627,0.004792,0.295835,5.822336,4.465947,1.712894,5.705185,4.362185,1.190601,0.941663,0.941938,0.948078,0.941663
84,0.280047,0.004959,0.275087,7.449597,5.670713,-2.445916,7.562995,5.861564,-2.855644,0.926106,0.926844,0.930336,0.926106
85,0.302128,0.005297,0.296830,6.156801,4.696934,0.197733,6.228968,4.812023,-0.367371,0.939718,0.940305,0.943952,0.939718
86,0.301855,0.005263,0.296593,6.141760,4.585166,0.941820,6.202802,4.710278,1.149198,0.931940,0.932682,0.935069,0.931940
87,0.289989,0.005371,0.284619,6.406985,4.936020,-0.112834,6.442205,4.958886,-0.745536,0.945552,0.945847,0.946701,0.945552
88,0.271581,0.004502,0.267080,5.506523,4.123300,0.389555,5.663484,4.281955,-0.412441,0.949927,0.950538,0.952379,0.949927
89,0.261198,0.005254,0.255944,5.710948,4.277437,-0.641752,5.707594,4.320550,-0.799109,0.946038,0.947274,0.954734,0.946038
90,0.289506,0.005066,0.284439,6.361307,4.882829,-2.557889,6.203519,4.741426,-2.215232,0.946038,0.946774,0.950044,0.946038
91,0.260752,0.005132,0.255620,5.449885,4.089870,-0.592443,5.450549,4.137891,-0.515681,0.946038,0.946569,0.949911,0.946038
92,0.258764,0.004914,0.253851,5.678702,4.228892,-0.554416,5.785144,4.411734,-1.079276,0.943121,0.943310,0.947029,0.943121
93,0.233106,0.004094,0.229012,5.294552,3.990838,-1.564939,6.158950,4.794586,-2.837332,0.951386,0.951814,0.953263,0.951386
94,0.265064,0.004971,0.260093,6.018840,4.617801,-2.012028,6.219461,4.865751,-2.361445,0.951386,0.951472,0.952752,0.951386
95,0.291820,0.004982,0.286838,6.556615,5.112997,-1.780635,6.261401,4.911320,-1.726157,0.945552,0.945869,0.947714,0.945552
96,0.265069,0.004882,0.260187,5.769641,4.375669,-1.009682,6.318661,4.967060,-2.235524,0.940690,0.941027,0.944833,0.940690
97,0.254125,0.004498,0.249626,5.422838,4.026845,-0.817734,5.940165,4.521800,-1.515137,0.955761,0.955904,0.956409,0.955761
98,0.258300,0.004724,0.253576,5.852341,4.387011,-0.493193,5.986428,4.562012,-0.515635,0.949441,0.949941,0.951547,0.949441
99,0.277627,0.005070,0.272557,5.853267,4.387905,0.863064,6.233602,4.782997,0.866227,0.952844,0.953197,0.955853,0.952844
100,0.276326,0.005178,0.271148,5.617380,4.186042,-0.424222,5.886222,4.472632,-0.621771,0.948955,0.949147,0.952044,0.948955
